signature_id,proto_name,rust_name,engine_dispatch,engine_family,engine_target,baseline_engine_dispatch,local_proto_available,baseline_local_proto_available,baseline_adapter_mapping,current_adapter_source_evidence,current_adapter_generated_name_candidates,baseline_facade_whitelist,current_facade_whitelist_evidence,pushdown_catalog_direct_selection,go_constructor_candidate_names,go_internal_cast_constructor_evidence,borrowed_classification,risk_flags,classification,admission_status,admission_names
46,CastTimeAsJson,CastTimeAsJson,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsJSONFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
50,CastDurationAsInt,CastDurationAsInt,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsIntFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
51,CastDurationAsReal,CastDurationAsReal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsRealFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
52,CastDurationAsString,CastDurationAsString,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsStringFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
53,CastDurationAsDecimal,CastDurationAsDecimal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDecimalFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
54,CastDurationAsTime,CastDurationAsTime,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsTimeFunctionClass.getFunction,mapper_requires_runtime_probe,current_date_clock_context;cast_field_metadata_selects_kernel,engine_dispatch_semantic_exclusion_or_review,untested,
55,CastDurationAsDuration,CastDurationAsDuration,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDurationFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
56,CastDurationAsJson,CastDurationAsJson,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsJSONFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
60,CastJsonAsInt,CastJsonAsInt,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsIntFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
61,CastJsonAsReal,CastJsonAsReal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsRealFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
62,CastJsonAsString,CastJsonAsString,True,impl_cast,map_cast_func(expr)?,True,True,True,False,True,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsStringFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
63,CastJsonAsDecimal,CastJsonAsDecimal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDecimalFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
64,CastJsonAsTime,CastJsonAsTime,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsTimeFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
65,CastJsonAsDuration,CastJsonAsDuration,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDurationFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
66,CastJsonAsJson,CastJsonAsJson,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsJSONFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
100,LTInt,LtInt,True,impl_compare,"map_int_sig(value, children, compare_mapper::<CmpOpLt>)?",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_to_annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
101,LTReal,LtReal,True,impl_compare,"compare_fn_meta::<BasicComparer<Real, CmpOpLt>>()",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
102,LTDecimal,LtDecimal,True,impl_compare,"compare_fn_meta::<BasicComparer<Decimal, CmpOpLt>>()",True,True,True,False,False,comparison:{prefix}Decimal;comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
103,LTString,LtString,True,impl_compare,map_string_compare_sig::<CmpOpLt>(ft)?,True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_requires_runtime_probe,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
104,LTTime,LtTime,True,impl_compare,"compare_fn_meta::<BasicComparer<DateTime, CmpOpLt>>()",True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
105,LTDuration,LtDuration,True,impl_compare,"compare_fn_meta::<BasicComparer<Duration, CmpOpLt>>()",True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
106,LTJson,LtJson,True,impl_compare,compare_json_fn_meta::<CmpOpLt>(),True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,no_annotated_direct_loader,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
110,LEInt,LeInt,True,impl_compare,"map_int_sig(value, children, compare_mapper::<CmpOpLe>)?",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_to_annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
111,LEReal,LeReal,True,impl_compare,"compare_fn_meta::<BasicComparer<Real, CmpOpLe>>()",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
112,LEDecimal,LeDecimal,True,impl_compare,"compare_fn_meta::<BasicComparer<Decimal, CmpOpLe>>()",True,True,True,False,False,comparison:{prefix}Decimal;comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
113,LEString,LeString,True,impl_compare,map_string_compare_sig::<CmpOpLe>(ft)?,True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_requires_runtime_probe,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
114,LETime,LeTime,True,impl_compare,"compare_fn_meta::<BasicComparer<DateTime, CmpOpLe>>()",True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
115,LEDuration,LeDuration,True,impl_compare,"compare_fn_meta::<BasicComparer<Duration, CmpOpLe>>()",True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
116,LEJson,LeJson,True,impl_compare,compare_json_fn_meta::<CmpOpLe>(),True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,no_annotated_direct_loader,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
120,GTInt,GtInt,True,impl_compare,"map_int_sig(value, children, compare_mapper::<CmpOpGt>)?",True,True,True,True,False,comparison:{prefix}{},True,,True,eq;ge;gt;le;lt;ne;nulleq,,mapper_to_annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
121,GTReal,GtReal,True,impl_compare,"compare_fn_meta::<BasicComparer<Real, CmpOpGt>>()",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
122,GTDecimal,GtDecimal,True,impl_compare,"compare_fn_meta::<BasicComparer<Decimal, CmpOpGt>>()",True,True,True,False,False,comparison:{prefix}Decimal;comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
123,GTString,GtString,True,impl_compare,map_string_compare_sig::<CmpOpGt>(ft)?,True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_requires_runtime_probe,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
124,GTTime,GtTime,True,impl_compare,"compare_fn_meta::<BasicComparer<DateTime, CmpOpGt>>()",True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
125,GTDuration,GtDuration,True,impl_compare,"compare_fn_meta::<BasicComparer<Duration, CmpOpGt>>()",True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
126,GTJson,GtJson,True,impl_compare,compare_json_fn_meta::<CmpOpGt>(),True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,no_annotated_direct_loader,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
130,GEInt,GeInt,True,impl_compare,"map_int_sig(value, children, compare_mapper::<CmpOpGe>)?",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_to_annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
131,GEReal,GeReal,True,impl_compare,"compare_fn_meta::<BasicComparer<Real, CmpOpGe>>()",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
132,GEDecimal,GeDecimal,True,impl_compare,"compare_fn_meta::<BasicComparer<Decimal, CmpOpGe>>()",True,True,True,False,False,comparison:{prefix}Decimal;comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
133,GEString,GeString,True,impl_compare,map_string_compare_sig::<CmpOpGe>(ft)?,True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_requires_runtime_probe,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
134,GETime,GeTime,True,impl_compare,"compare_fn_meta::<BasicComparer<DateTime, CmpOpGe>>()",True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
135,GEDuration,GeDuration,True,impl_compare,"compare_fn_meta::<BasicComparer<Duration, CmpOpGe>>()",True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
136,GEJson,GeJson,True,impl_compare,compare_json_fn_meta::<CmpOpGe>(),True,False,False,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,no_annotated_direct_loader,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
140,EQInt,EqInt,True,impl_compare,"map_int_sig(value, children, compare_mapper::<CmpOpEq>)?",True,True,True,True,False,comparison:{prefix}{},True,,True,eq;ge;gt;le;lt;ne;nulleq,,mapper_to_annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
141,EQReal,EqReal,True,impl_compare,"compare_fn_meta::<BasicComparer<Real, CmpOpEq>>()",True,True,True,True,False,comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,baseline_adapter_signature_with_shape_restrictions,admitted,eq;ge;gt;le;lt;ne;nulleq
142,EQDecimal,EqDecimal,True,impl_compare,"compare_fn_meta::<BasicComparer<Decimal, CmpOpEq>>()",True,True,True,False,False,comparison:{prefix}Decimal;comparison:{prefix}{},True,,False,eq;ge;gt;le;lt;ne;nulleq,,annotated_kernel_type_and_tree_dependent,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
143,EQString,EqString,True,impl_compare,map_string_compare_sig::<CmpOpEq>(ft)?,True,True,True,False,False,comparison:{prefix}{},False,,False,eq;ge;gt;le;lt;ne;nulleq,,mapper_requires_runtime_probe,,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,eq;ge;gt;le;lt;ne;nulleq
